S/N,Project ID,Data requested,BI service,Delivery Method,RNA Box No.,Original Sample Position,Sample Accession Number [R8800xxxx],Internal ID,Client's Sample name  ,Sample Origin,RIN,Nanodrop Conc (ng/uL),Nanodrop A260/280,Nanodrop A230/260,DV200,Stranded/ Non-stranded,200ng RNA input Vol[ul],NFW ul (to 8ul),Input plate position,RNA input [ng],Library  Prep Plate,Lib_Conc. (ng/ul),D1000 Tapestation Library peak Size(bp),D1000 Tapestation Library Average Size(bp),Library Prep,Well Position,ng for pooling for 1pmol,volume for circularization (µl),ssCir plate pos,Qubit ssDNA Conc.[ng/µL] (>0.6),"DNB conc
Qubit ssDNA ng/ul",Index(*),Sequencing Mode(*),Required Reads,data output,output_ratio,Flowcell ID,Read1 files path(*),Read2 files path
580,RNA_20240828_155,40M reads,Fastq,AWS,RNA Box 24,A7,R88010659,RNA001298,100_24_1a,Leukaemia cell lines,9.9,56.5,2.1,1.9,98,Stranded,3.5,4.5,A07,200,LP22,13.46,464,475,LP22,A7,313.5,2.3,A5,4,14.3,UDB049,PE150,40,63.8,1.59,E250019168,,
581,RNA_20240828_155,40M reads,Fastq,AWS,RNA Box 24,B7,R88010660,RNA001299,100_24_1b,Leukaemia cell lines,9.8,59,2.1,0.7,97.6,Stranded,3.4,4.6,B07,200,LP22,17.74,468,469,LP22,B7,309.5,1.7,A5,4,14.3,UDB050,PE150,40,38.5,0.96,E250019168,,
582,RNA_20240828_155,40M reads,Fastq,AWS,RNA Box 24,C7,R88010661,RNA001300,100_24_1c,Leukaemia cell lines,9.8,53.5,2.1,0.3,97.1,Stranded,3.7,4.3,C07,200,LP22,27.35,457,468,LP22,C7,308.9,1.1,A6,4,12.9,UDB051,PE150,40,55.7,1.39,E250019168,,
583,RNA_20240828_155,40M reads,Fastq,AWS,RNA Box 24,D7,R88010662,RNA001301,100_24_2a,Leukaemia cell lines,9.8,60.6,2.1,1.2,97.3,Stranded,3.3,4.7,D07,200,LP22,27.63,469,465,LP22,D7,306.9,1.1,A6,4,12.9,UDB052,PE150,40,56.9,1.42,E250019168,,
584,RNA_20240828_155,40M reads,Fastq,AWS,RNA Box 24,E7,R88010663,RNA001302,100_24_2b,Leukaemia cell lines,9.9,57.1,2.1,1.6,96.3,Stranded,3.5,4.5,E07,200,LP22,26.24,477,487,LP22,E7,321.4,1.2,A6,4,12.9,UDB053,PE150,40,49.6,1.24,E250019168,,
585,RNA_20240828_155,40M reads,Fastq,AWS,RNA Box 24,F7,R88010664,RNA001303,100_24_2c,Leukaemia cell lines,9.9,56.8,2,2.1,97,Stranded,3.5,4.5,F07,200,LP22,19.54,467,459,LP22,F7,302.9,1.6,A6,4,12.9,UDB054,PE150,40,61.4,1.54,E250019168,,
586,RNA_20240828_155,40M reads,Fastq,AWS,RNA Box 24,G7,R88010665,RNA001304,100_24_3a,Leukaemia cell lines,10,56.2,2.1,2.2,96.7,Stranded,3.6,4.4,G07,200,LP22,7.6,457,464,LP22,G7,306.2,4,A6,4,12.9,UDB055,PE150,40,65.8,1.65,E250019168,,
587,RNA_20240828_155,40M reads,Fastq,AWS,RNA Box 24,H7,R88010666,RNA001305,100_24_3b,Leukaemia cell lines,9.8,61.9,2.1,1.6,97.3,Stranded,3.2,4.8,H07,200,LP22,19.5,456,452,LP22,H7,298.3,1.5,A6,4,12.9,UDB056,PE150,40,63.4,1.58,E250019168,,
588,RNA_20240828_155,40M reads,Fastq,AWS,RNA Box 24,A8,R88010667,RNA001306,100_24_3c,Leukaemia cell lines,9.9,56.1,2,2,97.6,Stranded,3.6,4.4,A08,200,LP22,18.84,451,459,LP22,A8,302.9,1.6,A6,4,12.9,UDB057,PE150,40,63.8,1.59,E250019168,,
589,RNA_20240828_155,40M reads,Fastq,AWS,RNA Box 24,B8,R88010668,RNA001307,100_24_4a,Leukaemia cell lines,9.8,65.4,2.1,0.8,97.7,Stranded,3.1,4.9,B08,200,LP22,31.94,467,475,LP22,B8,313.5,1,A6,4,12.9,UDB058,PE150,40,52.7,1.32,E250019168,,
590,RNA_20240828_155,40M reads,Fastq,AWS,RNA Box 24,C8,R88010669,RNA001308,100_24_4b,Leukaemia cell lines,9.9,53.4,2.2,0.3,97.4,Stranded,3.7,4.3,C08,200,LP22,31.41,476,483,LP22,C8,318.8,1,A6,4,12.9,UDB059,PE150,40,49.5,1.24,E250019168,,
591,RNA_20240828_155,40M reads,Fastq,AWS,RNA Box 24,D8,R88010670,RNA001309,100_24_4c,Leukaemia cell lines,9.9,53.5,2.1,1.6,97,Stranded,3.7,4.3,D08,200,LP22,26.33,452,458,LP22,D8,302.3,1.1,A6,4,12.9,UDB060,PE150,40,43.7,1.09,E250019168,,
592,RNA_20240828_155,40M reads,Fastq,AWS,RNA Box 24,E8,R88010671,RNA001310,10_72_1a,Leukaemia cell lines,9.9,54.2,2.2,2.2,97.3,Stranded,3.7,4.3,E08,200,LP22,29.74,471,474,LP22,E8,312.8,1.1,A7,4.2,13.6,UDB061,PE150,40,51.3,1.28,E250019168,,
593,RNA_20240828_155,40M reads,Fastq,AWS,RNA Box 24,F8,R88010672,RNA001311,10_72_1b,Leukaemia cell lines,9.4,59,2.2,0.1,96.7,Stranded,3.4,4.6,F08,200,LP22,31.82,463,462,LP22,F8,304.9,1,A7,4.2,13.6,UDB062,PE150,40,54.3,1.36,E250019168,,
594,RNA_20240828_155,40M reads,Fastq,AWS,RNA Box 24,G8,R88010673,RNA001312,10_72_1c,Leukaemia cell lines,9.9,54.6,2.2,0.9,96.6,Stranded,3.7,4.3,G08,200,LP22,17.87,441,447,LP22,G8,295,1.7,A7,4.2,13.6,UDB063,PE150,40,62.8,1.57,E250019168,,
595,RNA_20240828_155,40M reads,Fastq,AWS,RNA Box 24,H8,R88010674,RNA001313,10_72_2a,Leukaemia cell lines,9.7,57.7,2.2,1,95.5,Stranded,3.5,4.5,H08,200,LP22,21.98,463,457,LP22,H8,301.6,1.4,A7,4.2,13.6,UDB064,PE150,40,59.8,1.49,E250019168,,
596,RNA_20240828_155,40M reads,Fastq,AWS,RNA Box 24,A9,R88010675,RNA001314,10_72_2b,Leukaemia cell lines,9.9,63.9,2.1,1.3,97.4,Stranded,3.1,4.9,A09,200,LP22,19.65,472,483,LP22,A9,318.8,1.6,A7,4.2,13.6,UDB065,PE150,40,59.6,1.49,E250019168,,
597,RNA_20240828_155,40M reads,Fastq,AWS,RNA Box 24,B9,R88010676,RNA001315,10_72_2c,Leukaemia cell lines,9.8,59.5,2.1,0.6,97.2,Stranded,3.4,4.6,B09,200,LP22,29.98,462,471,LP22,B9,310.9,1,A7,4.2,13.6,UDB066,PE150,40,46.8,1.17,E250019168,,
598,RNA_20240828_155,40M reads,Fastq,AWS,RNA Box 24,C9,R88010677,RNA001316,10_72_3a,Leukaemia cell lines,9.9,54.5,2.2,0.9,96.3,Stranded,3.7,4.3,C09,200,LP22,26.57,454,461,LP22,C9,304.3,1.1,A7,4.2,13.6,UDB067,PE150,40,58.3,1.46,E250019168,,
599,RNA_20240828_155,40M reads,Fastq,AWS,RNA Box 24,D9,R88010678,RNA001317,10_72_3b,Leukaemia cell lines,9.9,54.6,2.1,1.6,96.2,Stranded,3.7,4.3,D09,200,LP22,33.96,460,468,LP22,D9,308.9,0.9,A7,4.2,13.6,UDB068,PE150,40,54,1.35,E250019168,,
600,RNA_20240828_155,40M reads,Fastq,AWS,RNA Box 24,E9,R88010679,RNA001318,10_72_3c,Leukaemia cell lines,10,52.2,2.2,0.3,96.3,Stranded,3.8,4.2,E09,200,LP22,13.31,465,466,LP22,E9,307.6,2.3,A7,4.2,13.6,UDB069,PE150,40,60.1,1.5,E250019168,,
601,RNA_20240828_155,40M reads,Fastq,AWS,RNA Box 24,F9,R88010680,RNA001319,10_72_4a,Leukaemia cell lines,9.9,46.2,2.1,0.4,95.2,Stranded,4.3,3.7,F09,200,LP22,10.39,475,478,LP22,F9,315.5,3,A7,4.2,13.6,UDB070,PE150,40,65.1,1.63,E250019168,,
602,RNA_20240828_155,40M reads,Fastq,AWS,RNA Box 24,G9,R88010681,RNA001320,10_72_4b,Leukaemia cell lines,10,52.8,2.1,1.6,96.9,Stranded,3.8,4.2,G09,200,LP22,20.76,464,468,LP22,G9,308.9,1.5,A8,4.1,14.3,UDB071,PE150,40,53.9,1.35,E250019168,,
603,RNA_20240828_155,40M reads,Fastq,AWS,RNA Box 24,H9,R88010682,RNA001321,10_72_4c,Leukaemia cell lines,9.9,51.4,2.1,0.7,97,Stranded,3.9,4.1,H09,200,LP22,7.92,486,484,LP22,H9,319.4,4,A8,4.1,14.3,UDB072,PE150,40,60.5,1.51,E250019168,,
604,RNA_20240828_155,40M reads,Fastq,AWS,RNA Box 24,A10,R88010683,RNA001322,100_72_1a,Leukaemia cell lines,9.9,56.4,2.1,1.4,96.9,Stranded,3.5,4.5,A10,200,LP22,24.33,448,461,LP22,A10,304.3,1.3,A8,4.1,14.3,UDB073,PE150,40,58.3,1.46,E250019168,,
605,RNA_20240828_155,40M reads,Fastq,AWS,RNA Box 24,B10,R88010684,RNA001323,100_72_1b,Leukaemia cell lines,9.9,56.7,2.2,0.7,97.3,Stranded,3.5,4.5,B10,200,LP22,24.2,467,468,LP22,B10,308.9,1.3,A8,4.1,14.3,UDB074,PE150,40,44.6,1.11,E250019168,,
606,RNA_20240828_155,40M reads,Fastq,AWS,RNA Box 24,C10,R88010685,RNA001324,100_72_1c,Leukaemia cell lines,9.9,56.8,2.1,0.8,97,Stranded,3.5,4.5,C10,200,LP22,12.28,473,477,LP22,C10,314.8,2.6,A8,4.1,14.3,UDB075,PE150,40,58.8,1.47,E250019168,,
607,RNA_20240828_155,40M reads,Fastq,AWS,RNA Box 24,D10,R88010686,RNA001325,100_72_2a,Leukaemia cell lines,9.8,56.7,2.1,2,96.6,Stranded,3.5,4.5,D10,200,LP22,22.45,481,486,LP22,D10,320.8,1.4,A8,4.1,14.3,UDB076,PE150,40,58,1.45,E250019168,,
608,RNA_20240828_155,40M reads,Fastq,AWS,RNA Box 24,E10,R88010687,RNA001326,100_72_2b,Leukaemia cell lines,9.8,56.5,2.2,0.8,97,Stranded,3.5,4.5,E10,200,LP22,31.79,467,478,LP22,E10,315.5,1,A8,4.1,14.3,UDB077,PE150,40,57.2,1.43,E250019168,,
609,RNA_20240828_155,40M reads,Fastq,AWS,RNA Box 24,F10,R88010688,RNA001327,100_72_2c,Leukaemia cell lines,9.8,59.6,2.1,0.7,96.9,Stranded,3.4,4.6,F10,200,LP22,25.43,472,469,LP22,F10,309.5,1.2,A8,4.1,14.3,UDB078,PE150,40,36.7,0.92,E250019168,,
610,RNA_20240828_155,40M reads,Fastq,AWS,RNA Box 24,G10,R88010689,RNA001328,100_72_3a,Leukaemia cell lines,9.8,57.5,2.1,1.2,96.3,Stranded,3.5,4.5,G10,200,LP22,38.68,466,473,LP22,G10,312.2,0.8,A8,4.1,14.3,UDB079,PE150,40,47.7,1.19,E250019168,,
611,RNA_20240828_155,40M reads,Fastq,AWS,RNA Box 24,H10,R88010690,RNA001329,100_72_3b,Leukaemia cell lines,9.8,59.1,2.2,0.1,95.2,Stranded,3.4,4.6,H10,200,LP22,16.08,446,449,LP22,H10,296.3,1.8,A8,4.1,14.3,UDB080,PE150,40,56.9,1.42,E250019168,,
612,RNA_20240828_155,40M reads,Fastq,AWS,RNA Box 24,A11,R88010691,RNA001330,100_72_3c,Leukaemia cell lines,9.8,61,2.2,0.2,96.3,Stranded,3.3,4.7,A11,200,LP22,27.93,476,482,LP22,A11,318.1,1.1,A9,4.2,14.5,UDB081,PE150,40,50,1.25,E250019168,,
613,RNA_20240828_155,40M reads,Fastq,AWS,RNA Box 24,B11,R88010694,RNA001333,100_72_4c,Leukaemia cell lines,9.7,58.3,2.2,0.2,95,Stranded,3.4,4.6,B11,200,LP22,17.94,477,474,LP22,B11,312.8,1.7,A9,4.2,14.5,UDB082,PE150,40,47.9,1.2,E250019168,,
614,RNA_20240828_155,40M reads,Fastq,AWS,RNA Box 24,C11,R88010693,RNA001332,100_72_4b,Leukaemia cell lines,9.8,55.9,2.2,0.4,96.5,Stranded,3.6,4.4,C11,200,LP22,20.85,472,472,LP22,C11,311.5,1.5,A9,4.2,14.5,UDB083,PE150,40,52.1,1.3,E250019168,,
615,RNA_20240828_155,40M reads,Fastq,AWS,RNA Box 24,D11,R88010692,RNA001333,100_72_4a,Leukaemia cell lines,9.8,53.2,2.1,2.1,95.7,Stranded,3.8,4.2,D11,200,LP22,11.57,480,490,LP22,D11,323.4,2.8,A9,4.2,14.5,UDB084,PE150,40,50.1,1.25,E250019168,,
616,RNA_20240828_155,40M reads,Fastq,AWS,RNA Box 24,E11,R88010695,RNA001334,10_6_5a,Leukaemia cell lines,9.8,47.3,2.2,0.9,97.5,Stranded,4.2,3.8,E11,200,LP22,25.6,469,469,LP22,E11,309.5,1.2,A9,4.2,14.5,UDB085,PE150,40,56.6,1.41,E250019168,,
617,RNA_20240828_155,40M reads,Fastq,AWS,RNA Box 24,F11,R88010696,RNA001335,10_6_5b,Leukaemia cell lines,9.8,56.9,2.1,1.9,96.9,Stranded,3.5,4.5,F11,200,LP22,24.71,469,478,LP22,F11,315.5,1.3,A9,4.2,14.5,UDB086,PE150,40,52.4,1.31,E250019168,,
618,RNA_20240828_155,40M reads,Fastq,AWS,RNA Box 24,G11,R88010697,RNA001336,10_6_5c,Leukaemia cell lines,9.8,51.8,2.5,0.3,95.9,Stranded,3.9,4.1,G11,200,LP22,14.5,443,450,LP22,G11,297,2,A9,4.2,14.5,UDB087,PE150,40,55,1.37,E250019168,,
619,RNA_20240828_155,40M reads,Fastq,AWS,RNA Box 24,H11,R88010698,RNA001337,10_6_6a,Leukaemia cell lines,9.8,55.2,2.2,1.8,96.2,Stranded,3.6,4.4,H11,200,LP22,23.29,451,462,LP22,H11,304.9,1.3,A9,4.2,14.5,UDB088,PE150,40,48.6,1.21,E250019168,,
620,RNA_20240828_155,40M reads,Fastq,AWS,RNA Box 24,A12,R88010699,RNA001338,10_6_6b,Leukaemia cell lines,9.1,59.2,2.1,0.2,95.8,Stranded,3.4,4.6,A12,200,LP22,19.28,452,456,LP22,A12,301,1.6,A9,4.2,14.5,UDB089,PE150,40,56.2,1.4,E250019168,,
621,RNA_20240828_155,40M reads,Fastq,AWS,RNA Box 24,B12,R88010700,RNA001339,10_6_6c,Leukaemia cell lines,9.9,56.2,2.1,2.1,96.8,Stranded,3.6,4.4,B12,200,LP22,21.29,445,457,LP22,B12,301.6,1.4,A9,4.2,14.5,UDB090,PE150,40,53.4,1.33,E250019168,,
622,RNA_20240828_155,40M reads,Fastq,AWS,RNA Box 24,C12,R88010701,RNA001340,10_6_7a,Leukaemia cell lines,9.9,75.1,2.1,1.3,97.2,Stranded,2.7,5.3,C12,200,LP22,13.17,471,473,LP22,C12,312.2,2.4,A10,5,13.9,UDB091,PE150,40,47.2,1.18,E250019168,,
623,RNA_20240828_155,40M reads,Fastq,AWS,RNA Box 24,D12,R88010702,RNA001341,10_6_7b,Leukaemia cell lines,9.9,47.6,2.4,0.4,96.7,Stranded,4.2,3.8,D12,200,LP22,11.81,481,476,LP22,D12,314.2,2.7,A10,5,13.9,UDB092,PE150,40,56.7,1.42,E250019168,,
624,RNA_20240828_155,40M reads,Fastq,AWS,RNA Box 24,E12,R88010703,RNA001342,10_6_7c,Leukaemia cell lines,9.9,56.5,2.21,0.64,96.52,Stranded,3.5,4.5,E12,200,LP22,16.07,477,477,LP22,E12,314.8,2,A10,5,13.9,UDB093,PE150,40,49.8,1.25,E250019168,,
625,RNA_20240828_155,40M reads,Fastq,AWS,RNA Box 24,F12,R88010704,RNA001343,10_6_8a,Leukaemia cell lines,9.9,28.1,2.33,0.33,97.06,Stranded,7.1,0.9,F12,200,LP22,11.46,473,464,LP22,F12,306.2,2.7,A10,5,13.9,UDB094,PE150,40,53.8,1.34,E250019168,,
626,,,,,,G12,,,Hu Ref RNA,,,80.9,,,,Stranded,2.5,5.5,G12,200,LP22,41.88,458,470,LP22,G12,310.2,0.7,A10,5,13.9,UDB095,PE150,40,49.7,1.24,E250019168,,
627,RNA_20240828_155,40M reads,Fastq,AWS,RNA Box 25,A1,R88010705,RNA001344,10_6_8b,Leukaemia cell lines,10,33,2.1,1.1,97.8,Stranded,6.1,1.9,A01,200,LP23,12.7,491,493,LP23,A1,325.38,2.6,A10,5,13.9,UDB097,PE150,40,49,1.23,E250019168,,
628,RNA_20240828_155,40M reads,Fastq,AWS,RNA Box 25,B1,R88010706,RNA001345,10_6_8c,Leukaemia cell lines,9.9,77.6,2.1,0.3,97.7,Stranded,2.6,5.4,B01,200,LP23,29.2,478,488,LP23,B1,322.08,1.1,A10,5,13.9,UDB098,PE150,40,56.6,1.41,E250019168,,
629,RNA_20240828_155,40M reads,Fastq,AWS,RNA Box 25,C1,R88010707,RNA001346,100_6_5a,Leukaemia cell lines,10,81.3,2.1,0.6,97.5,Stranded,2.5,5.5,C01,200,LP23,14.6,494,503,LP23,C1,331.98,2.3,A10,5,13.9,UDB099,PE150,40,51.3,1.28,E250019168,,
630,RNA_20240828_155,40M reads,Fastq,AWS,RNA Box 25,D1,R88010708,RNA001347,100_6_5b,Leukaemia cell lines,10,72.5,2.2,1.3,97.7,Stranded,2.8,5.2,D01,200,LP23,20.4,486,502,LP23,D1,331.32,1.6,A10,5,13.9,UDB100,PE150,40,55.6,1.39,E250019168,,
631,RNA_20240828_155,40M reads,Fastq,AWS,RNA Box 25,E1,R88010709,RNA001348,100_6_5c,Leukaemia cell lines,10,54.9,2.1,0.5,96.4,Stranded,3.6,4.4,E01,200,LP23,15.9,486,496,LP23,E1,327.36,2.1,A10,5,13.9,UDB101,PE150,40,51.2,1.28,E250019168,,
632,RNA_20240828_155,40M reads,Fastq,AWS,RNA Box 25,F1,R88010710,RNA001349,100_6_6a,Leukaemia cell lines,10,63.5,2.1,1.2,97,Stranded,3.2,4.8,F01,200,LP23,13.1,483,477,LP23,F1,314.82,2.4,A11,4.3,12.9,UDB102,PE150,40,30.9,0.77,E250019168,,
633,RNA_20240828_155,40M reads,Fastq,AWS,RNA Box 25,G1,R88010711,RNA001350,100_6_6b,Leukaemia cell lines,9.9,60.1,2.1,1.9,97.3,Stranded,3.3,4.7,G01,200,LP23,19.7,475,480,LP23,G1,316.8,1.6,A11,4.3,12.9,UDB103,PE150,40,49.5,1.24,E250019168,,
634,RNA_20240828_155,40M reads,Fastq,AWS,RNA Box 25,A2,R88010713,RNA001352,100_6_7a,Leukaemia cell lines,9.9,69.6,2.1,0.8,95.7,Stranded,2.9,5.1,A02,200,LP23,13.4,496,501,LP23,A2,330.66,2.5,A11,4.3,12.9,UDB105,PE150,40,61.3,1.53,E250019168,,
635,RNA_20240828_155,40M reads,Fastq,AWS,RNA Box 25,B2,R88010714,RNA001353,100_6_7b,Leukaemia cell lines,9.9,43.1,2.1,0.2,96.5,Stranded,4.6,3.4,B02,200,LP23,32.9,477,480,LP23,B2,316.8,1,A11,4.3,12.9,UDB106,PE150,40,55.3,1.38,E250019168,,
636,RNA_20240828_155,40M reads,Fastq,AWS,RNA Box 25,C2,R88010715,RNA001354,100_6_7c,Leukaemia cell lines,5,67.5,2.2,0.7,96.4,Stranded,3,5,C02,200,LP23,24.9,483,483,LP23,C2,318.78,1.3,A11,4.3,12.9,UDB107,PE150,40,60.3,1.51,E250019168,,
637,RNA_20240828_155,40M reads,Fastq,AWS,RNA Box 25,D2,R88010716,RNA001355,100_6_8a,Leukaemia cell lines,9.9,73.2,2.2,0.8,97.6,Stranded,2.7,5.3,D02,200,LP23,23.2,488,502,LP23,D2,331.32,1.4,A11,4.3,12.9,UDB108,PE150,40,54.7,1.37,E250019168,,
638,RNA_20240828_155,40M reads,Fastq,AWS,RNA Box 25,E2,R88010717,RNA001356,100_6_8b,Leukaemia cell lines,9.8,73.5,2.2,1.8,96,Stranded,2.7,5.3,E02,200,LP23,29.5,481,498,LP23,E2,328.68,1.1,A11,4.3,12.9,UDB109,PE150,40,57.2,1.43,E250019168,,
639,RNA_20240828_155,40M reads,Fastq,AWS,RNA Box 25,F2,R88010718,RNA001357,100_6_8c,Leukaemia cell lines,9.7,59.3,2.1,0.1,96.8,Stranded,3.4,4.6,F02,200,LP23,28.6,452,456,LP23,F2,300.96,1.1,A11,4.3,12.9,UDB110,PE150,40,56.7,1.42,E250019168,,
640,RNA_20240828_155,40M reads,Fastq,AWS,RNA Box 25,G2,R88010719,RNA001358,10_24_5a,Leukaemia cell lines,9.9,61.9,2,1.7,98.4,Stranded,3.2,4.8,G02,200,LP23,24,478,484,LP23,G2,319.44,1.3,A11,4.3,12.9,UDB111,PE150,40,56.5,1.41,E250019168,,
641,RNA_20240828_155,40M reads,Fastq,AWS,RNA Box 25,H2,R88010720,RNA001359,10_24_5b,Leukaemia cell lines,8.9,63.7,2.1,1.1,95.2,Stranded,3.1,4.9,H02,200,LP23,37.9,477,448,LP23,H2,295.68,0.8,A11,4.3,12.9,UDB112,PE150,40,65.6,1.64,E250019168,,
642,RNA_20240828_155,40M reads,Fastq,AWS,RNA Box 25,A3,R88010721,RNA001360,10_24_5c,Leukaemia cell lines,9.9,60.6,2.1,1,98.6,Stranded,3.3,4.7,A03,200,LP23,18,483,499,LP23,A3,329.34,1.8,A12,4.6,13.3,UDB113,PE150,40,51.4,1.28,E250019168,,
643,RNA_20240828_155,40M reads,Fastq,AWS,RNA Box 25,B3,R88010722,RNA001361,10_24_6a,Leukaemia cell lines,10,62.9,2.1,1.9,98.2,Stranded,3.2,4.8,B03,200,LP23,27.7,477,492,LP23,B3,324.72,1.2,A12,4.6,13.3,UDB114,PE150,40,51.3,1.28,E250019168,,
644,RNA_20240828_155,40M reads,Fastq,AWS,RNA Box 25,C3,R88010723,RNA001362,10_24_6b,Leukaemia cell lines,9.9,60.7,2.2,0.9,98,Stranded,3.3,4.7,C03,200,LP23,13.5,487,485,LP23,C3,320.1,2.4,A12,4.6,13.3,UDB115,PE150,40,53.7,1.34,E250019168,,
645,RNA_20240828_155,40M reads,Fastq,AWS,RNA Box 25,D3,R88010724,RNA001363,10_24_6c,Leukaemia cell lines,9.9,60.9,2,2.1,97.7,Stranded,3.3,4.7,D03,200,LP23,13.1,486,483,LP23,D3,318.78,2.4,A12,4.6,13.3,UDB116,PE150,40,60.1,1.5,E250019168,,
646,RNA_20240828_155,40M reads,Fastq,AWS,RNA Box 25,E3,R88010725,RNA001364,10_24_7a,Leukaemia cell lines,9.8,65.7,2.1,1.5,96,Stranded,3,5,E03,200,LP23,16.4,476,481,LP23,E3,317.46,1.9,A12,4.6,13.3,UDB117,PE150,40,54.3,1.36,E250019168,,
647,RNA_20240828_155,40M reads,Fastq,AWS,RNA Box 25,F3,R88010726,RNA001365,10_24_7b,Leukaemia cell lines,9.9,71.6,2.2,1.1,97.4,Stranded,2.8,5.2,F03,200,LP23,26.7,490,504,LP23,F3,332.64,1.2,A12,4.6,13.3,UDB118,PE150,40,52.5,1.31,E250019168,,
648,RNA_20240828_155,40M reads,Fastq,AWS,RNA Box 25,G3,R88010727,RNA001366,10_24_7c,Leukaemia cell lines,9.9,66.7,2.1,0.6,97.4,Stranded,3,5,G03,200,LP23,23.7,476,480,LP23,G3,316.8,1.3,A12,4.6,13.3,UDB119,PE150,40,55.5,1.39,E250019168,,
649,RNA_20240828_155,40M reads,Fastq,AWS,RNA Box 25,H3,R88010728,RNA001367,10_24_8a,Leukaemia cell lines,10,34.8,2.2,0.2,98,Stranded,5.8,2.2,H03,200,LP23,15.8,479,485,LP23,H3,320.1,2,A12,4.6,13.3,UDB120,PE150,40,50.8,1.27,E250019168,,
650,RNA_20240828_155,40M reads,Fastq,AWS,RNA Box 25,A4,R88010729,RNA001368,10_24_8b,Leukaemia cell lines,9.9,79.6,2.1,0.7,97.1,Stranded,2.5,5.5,A04,200,LP23,15.2,498,515,LP23,A4,339.9,2.2,A12,4.6,13.3,UDB121,PE150,40,56.1,1.4,E250019168,,
651,RNA_20240828_155,40M reads,Fastq,AWS,RNA Box 25,B4,R88010730,RNA001369,10_24_8c,Leukaemia cell lines,9.8,90.1,2.2,0.2,97.6,Stranded,2.2,5.8,B04,200,LP23,10.2,499,522,LP23,B4,344.52,3.4,A12,4.6,13.3,UDB122,PE150,40,62.2,1.56,E250019168,,
652,RNA_20240828_155,40M reads,Fastq,AWS,RNA Box 25,C4,R88010731,RNA001370,100_24_5a,Leukaemia cell lines,9.9,67.6,2.1,1.2,97.9,Stranded,3,5,C04,200,LP23,22.2,491,504,LP23,C4,332.64,1.5,B1,4.6,13,UDB123,PE150,40,57.2,1.43,E250019177,,
653,RNA_20240828_155,40M reads,Fastq,AWS,RNA Box 25,D4,R88010732,RNA001371,100_24_5b,Leukaemia cell lines,9.9,52.1,2.1,0.9,97.6,Stranded,3.8,4.2,D04,200,LP23,39.8,478,500,LP23,D4,330,0.8,B1,4.6,13,UDB124,PE150,40,34.6,0.86,E250019177,,
654,RNA_20240828_155,40M reads,Fastq,AWS,RNA Box 25,E4,R88010733,RNA001372,100_24_5c,Leukaemia cell lines,9.9,51.2,2.1,1.5,96.7,Stranded,3.9,4.1,E04,200,LP23,21.3,488,500,LP23,E4,330,1.6,B1,4.6,13,UDB125,PE150,40,55.6,1.39,E250019177,,
655,RNA_20240828_155,40M reads,Fastq,AWS,RNA Box 25,F4,R88010734,RNA001373,100_24_6a,Leukaemia cell lines,9.9,69.4,2.2,0.3,97.1,Stranded,2.9,5.1,F04,200,LP23,27.9,484,507,LP23,F4,334.62,1.2,B1,4.6,13,UDB126,PE150,40,54.9,1.37,E250019177,,
656,RNA_20240828_155,40M reads,Fastq,AWS,RNA Box 25,G4,R88010735,RNA001374,100_24_6b,Leukaemia cell lines,9.9,54.9,2,2.2,97.9,Stranded,3.6,4.4,G04,200,LP23,24.4,479,491,LP23,G4,324.06,1.3,B1,4.6,13,UDB127,PE150,40,56.2,1.41,E250019177,,
657,RNA_20240828_155,40M reads,Fastq,AWS,RNA Box 25,H4,R88010736,RNA001375,100_24_6c,Leukaemia cell lines,9.8,43.8,2.2,0.1,97,Stranded,4.6,3.4,H04,200,LP23,15.1,479,472,LP23,H4,311.52,2.1,B1,4.6,13,UDB128,PE150,40,58.4,1.46,E250019177,,
658,RNA_20240828_155,40M reads,Fastq,AWS,RNA Box 25,A5,R88010737,RNA001376,100_24_7a,Leukaemia cell lines,9.8,55.1,2.2,0.6,97.2,Stranded,3.6,4.4,A05,200,LP23,28.2,478,493,LP23,A5,325.38,1.2,B1,4.6,13,UDB129,PE150,40,58.9,1.47,E250019177,,
659,RNA_20240828_155,40M reads,Fastq,AWS,RNA Box 25,B5,R88010738,RNA001377,100_24_7b,Leukaemia cell lines,9.9,61.4,2.2,0.5,96.5,Stranded,3.3,4.7,B05,200,LP23,32.7,481,496,LP23,B5,327.36,1,B1,4.6,13,UDB130,PE150,40,49.4,1.23,E250019177,,
660,RNA_20240828_155,40M reads,Fastq,AWS,RNA Box 25,C5,R88010739,RNA001378,100_24_7c,Leukaemia cell lines,10,53.8,2.2,1.1,97.3,Stranded,3.7,4.3,C05,200,LP23,31.8,489,510,LP23,C5,336.6,1.1,B1,4.6,13,UDB131,PE150,40,54.3,1.36,E250019177,,
661,RNA_20240828_155,40M reads,Fastq,AWS,RNA Box 25,D5,R88010740,RNA001379,100_24_8a,Leukaemia cell lines,9.9,53.3,2.2,0.4,97.3,Stranded,3.8,4.2,D05,200,LP23,24.4,482,494,LP23,D5,326.04,1.3,B1,4.6,13,UDB132,PE150,40,54.6,1.37,E250019177,,
